Symbol,Asset class,Type,Region,Revenue,Earnings,Earnings_Ratio,Total_Holding_Percent,maxAge_x,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,maxAge_y
IXTE.TO,Equity,Responsible Investing,CA,16401144086.422003,3917217656.604,23.883807348823566,2.1022664000000004,1,2,19.92,19.93,19.93,19.93,19.92,19.93,19.93,19.93,13.947915,100,100,139,20,20,20.22,20.25,,,0.0349,2883332.0,18.8,20.05,19.485,19.455,,,19.9312,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DRMC.TO,Equity,Responsible Investing,CA,10590150109.267002,2502113073.239001,23.62679515797897,1.3218859960000002,1,2,28.81,29.01,29.01,29.12,28.81,29.01,29.01,29.12,12.507846,406,406,1785,2310,2310,29.08,29.15,0.0,0.0,0.026099999,36653124.0,23.35,29.12,28.008,26.66785,,,28.805,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
CGR.TO,Equity,Real estate,Global,2582956620.196371,606862107.27032,23.494862535638827,1.5535984000000007,1,2,29.35,29.54,29.49,29.54,29.35,29.54,29.49,29.54,17.91426,543,543,2461,1760,1760,29.58,29.68,0.0,0.0,0.026500002,193754448.0,23.95,29.54,28.2052,27.3368,,,29.37736,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
HAZ.TO,Equity,Dividend,Global,72822363924.066,16970554529.644,23.304042350698325,1.7094980239999997,1,2,36.49,36.69,36.6,36.69,36.49,36.69,36.6,36.69,23.728298,4766,4766,6379,6290,6290,36.64,36.73,0.0,0.0,0.0125,415834496.0,28.3,36.69,35.2374,32.5797,,,36.5396,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ICAE.TO,Equity,Responsible Investing,CA,17991375603.627197,4179175600.249201,23.22877189783447,2.1401856080000004,1,2,20.81,20.83,20.83,20.83,20.81,20.83,20.83,20.83,,100,100,165,270,270,21.03,21.04,,,0.0373,7019210.0,17.71,20.83,20.3504,19.5728,,,20.8142,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
RIT.TO,Equity,Real estate,CA,319571902.60815,72298766.27879003,22.623630453344553,2.029872792,1,2,15.87,15.96,15.9,15.99,15.87,15.96,15.9,15.99,,32443,32443,12935,22410,22410,15.97,16.0,0.0,0.0,0.053600002,442893088.0,13.66,16.5,15.2574,15.4114,0.81,0.0510397,15.8986,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
FIE.TO,Equity,Financials,CA,13792147150.393097,3074109426.4428997,22.288838662479634,1.8110492280000003,1,2,7.29,7.28,7.28,7.32,7.29,7.28,7.28,7.32,8.626365,344838,344838,134562,151970,151970,7.3,7.31,0.0,0.0,0.068,975922432.0,5.93,7.32,7.1188,6.8431,0.48,0.06584362,7.28504,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
SHE,Equity,Responsible investing,US,82126483539.90533,18264459560.91755,22.239427251311486,1.5349472000000002,1,2,111.47,111.76,111.74,112.2249,111.47,111.76,111.74,112.2249,27.040833,2343,2343,4308,3210,3210,112.11,112.16,900.0,900.0,0.0109,244862368.0,82.138,112.2249,106.90862,98.49428,,,111.3724,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ICTE.TO,Equity,Responsible Investing,CA,13916947585.444399,3085605273.618899,22.171566391800624,1.7496544200000008,1,2,20.52,20.55,20.52,20.55,20.52,20.55,20.52,20.55,13.856232,200,200,28,35,35,20.79,20.8,,,0.0327,988334.0,18.3,20.55,19.9418,19.20945,,,20.5233,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XEN.TO,Equity,Responsible investing,CA,21618884046.06705,4619330897.295384,21.367110751194126,2.5087251879999997,1,2,34.05,34.1,34.1,34.5,34.05,34.1,34.1,34.5,13.2285385,1678,1678,2309,1530,1530,34.5,34.52,0.0,0.0,0.0247,111691632.0,28.64,34.5,33.3072,32.2645,,,34.04916,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
